url	primary language	stars	forks
https://github.com/twbs/bootstrap	JavaScript	108117	49538
https://github.com/facebook/react	JavaScript	62415	11503
https://github.com/d3/d3	JavaScript	61827	16406
https://github.com/angular/angular.js	JavaScript	55131	27513
https://github.com/tensorflow/tensorflow	C++	51452	24091
https://github.com/robbyrussell/oh-my-zsh	Shell	50944	12075
https://github.com/FortAwesome/Font-Awesome	HTML	49115	8558
https://github.com/vuejs/vue	JavaScript	47494	6157
https://github.com/torvalds/linux	C	43185	16416
https://github.com/docker/docker	Go	40912	12336
https://github.com/daneden/animate.css	CSS	40198	9037
https://github.com/apple/swift	C++	37388	5526
https://github.com/meteor/meteor	JavaScript	36908	4634
https://github.com/h5bp/html5-boilerplate	JavaScript	36864	9114
https://github.com/atom/atom	CoffeeScript	35638	6182
https://github.com/rails/rails	Ruby	34973	14264
https://github.com/nodejs/node	JavaScript	32977	6214
https://github.com/expressjs/express	JavaScript	30707	5613
https://github.com/laravel/laravel	PHP	30679	10081
https://github.com/moment/moment	JavaScript	30437	4385
https://github.com/jekyll/jekyll	Ruby	29118	6480
https://github.com/chartjs/Chart.js	JavaScript	28802	7552
https://github.com/AFNetworking/AFNetworking	Objective-C	28698	9070
https://github.com/google/material-design-icons	CSS	28672	5493
https://github.com/adobe/brackets	JavaScript	27103	5803
https://github.com/jashkenas/backbone	JavaScript	26146	5679
https://github.com/golang/go	Go	26059	3503
https://github.com/pallets/flask	Python	25947	8245
https://github.com/necolas/normalize.css	HTML	25321	5156
https://github.com/zurb/foundation-sites	JavaScript	25119	5498
https://github.com/Microsoft/vscode	TypeScript	24722	3390
https://github.com/django/django	Python	24513	9970
https://github.com/Alamofire/Alamofire	Swift	22572	3899
https://github.com/antirez/redis	C	22418	8409
https://github.com/TryGhost/Ghost	JavaScript	22265	5282
https://github.com/ansible/ansible	Python	22088	7141
https://github.com/neovim/neovim	Vim script	22014	1562
https://github.com/kubernetes/kubernetes	Go	21641	7458
https://github.com/elastic/elasticsearch	Java	21552	7566
https://github.com/discourse/discourse	Ruby	21017	5506
https://github.com/rust-lang/rust	Rust	20917	3937
https://github.com/tastejs/todomvc	JavaScript	20445	11563
https://github.com/Microsoft/TypeScript	TypeScript	20114	2854
https://github.com/Modernizr/Modernizr	JavaScript	19981	2727
https://github.com/firehol/netdata	C	19758	1525
https://github.com/rethinkdb/rethinkdb	C++	18486	1532
https://github.com/Leaflet/Leaflet	JavaScript	17898	3011
https://github.com/emberjs/ember.js	JavaScript	17663	3666
